Protocol,Length,Src_IP,Dst_IP,Src_Port,Dst_Port,Timestamp,Anomaly
TCP,74,10.0.2.15,10.0.2.2,55306,5190,1629118909.036326,1
TCP,54,10.0.2.2,10.0.2.15,2608,59352,1629118909.037302,1
TCP,74,10.0.2.15,10.0.2.2,37634,49153,1629118909.038276,1
TCP,54,10.0.2.2,10.0.2.15,3351,48332,1629118909.038276,1
TCP,74,10.0.2.15,10.0.2.2,35932,3814,1629118909.039287,1
TCP,74,10.0.2.15,10.0.2.2,44722,1043,1629118909.040228,1
TCP,66,10.0.2.15,10.0.2.2,34608,445,1629118909.040228,1
TCP,54,10.0.2.2,10.0.2.15,1213,45488,1629118909.041204,1
TCP,66,10.0.2.15,10.0.2.2,34608,445,1629118909.04218,1
TCP,74,10.0.2.15,10.0.2.2,55988,6006,1629118909.044132,1
TCP,74,10.0.2.15,10.0.2.2,39808,1052,1629118909.045108,1
TCP,66,10.0.2.15,10.0.2.2,58346,80,1629118909.046085,1
TCP,66,10.0.2.15,10.0.2.2,58346,80,1629118909.047061,1
TCP,54,10.0.2.2,10.0.2.15,5004,35622,1629118909.048036,1
TCP,74,10.0.2.15,10.0.2.2,59880,34571,1629118909.05001,1
TCP,74,10.0.2.15,10.0.2.2,42210,3809,1629118909.050965,1
TCP,54,10.0.2.2,10.0.2.15,7496,42232,1629118909.051941,1
TCP,74,10.0.2.15,10.0.2.2,44918,8649,1629118909.052916,1
TCP,74,10.0.2.15,10.0.2.2,40436,2288,1629118909.053893,1
TCP,54,10.0.2.2,10.0.2.15,1023,58116,1629118909.053893,1
TCP,74,10.0.2.15,10.0.2.2,60392,1094,1629118909.054868,1
TCP,54,10.0.2.2,10.0.2.15,3324,44772,1629118909.054868,1
TCP,74,10.0.2.15,10.0.2.2,42850,1010,1629118909.055844,1
TCP,54,10.0.2.2,10.0.2.15,1971,46354,1629118909.05682,1
TCP,74,10.0.2.15,10.0.2.2,45692,2260,1629118909.057796,1
TCP,54,10.0.2.2,10.0.2.15,1310,51462,1629118909.058775,1
TCP,74,10.0.2.15,10.0.2.2,46464,1233,1629118909.059748,1
TCP,74,10.0.2.15,10.0.2.2,41740,17988,1629118909.060724,1
TCP,54,10.0.2.2,10.0.2.15,5190,55306,1629118909.060724,1
TCP,74,10.0.2.15,10.0.2.2,35094,1027,1629118909.061701,1
TCP,54,10.0.2.2,10.0.2.15,49153,37634,1629118909.062676,1
TCP,74,10.0.2.15,10.0.2.2,42898,7921,1629118909.064629,1
TCP,54,10.0.2.2,10.0.2.15,3814,35932,1629118909.064629,1
TCP,74,10.0.2.15,10.0.2.2,33410,1183,1629118909.065604,1
TCP,54,10.0.2.2,10.0.2.15,1043,44722,1629118909.06658,1
TCP,66,10.0.2.15,10.0.2.2,52744,21,1629118909.067557,1
TCP,66,10.0.2.15,10.0.2.2,52744,21,1629118909.068533,1
TCP,74,10.0.2.15,10.0.2.2,49884,52822,1629118909.068533,1
TCP,54,10.0.2.2,10.0.2.15,6006,55988,1629118909.069508,1
TCP,74,10.0.2.15,10.0.2.2,47664,7777,1629118909.070485,1
TCP,54,10.0.2.2,10.0.2.15,1052,39808,1629118909.071527,1
TCP,60,10.0.2.15,10.0.2.2,60280,5900,1629118909.072381,1
TCP,54,10.0.2.2,10.0.2.15,34571,59880,1629118909.073357,1
TCP,74,10.0.2.15,10.0.2.2,56118,5679,1629118909.074332,1
TCP,74,10.0.2.15,10.0.2.2,48074,1721,1629118909.075309,1
TCP,54,10.0.2.2,10.0.2.15,3809,42210,1629118909.075309,1
TCP,74,10.0.2.15,10.0.2.2,54746,18988,1629118909.076285,1
TCP,54,10.0.2.2,10.0.2.15,8649,44918,1629118909.077261,1
TCP,74,10.0.2.15,10.0.2.2,55878,1132,1629118909.078237,1
TCP,74,10.0.2.15,10.0.2.2,55454,1296,1629118909.079409,1
TCP,54,10.0.2.2,10.0.2.15,2288,40436,1629118909.079409,1
TCP,74,10.0.2.15,10.0.2.2,59972,2401,1629118909.081164,1
TCP,54,10.0.2.2,10.0.2.15,1094,60392,1629118909.082141,1
TCP,74,10.0.2.15,10.0.2.2,47486,1073,1629118909.083118,1
TCP,54,10.0.2.2,10.0.2.15,1010,42850,1629118909.084093,1
